,VoltageP1,VoltageP2,TimeIndex
314,0.2935,1.0115,1772668194.6710591
315,0.1565,1.0115,1772668194.772604
316,0.10749999999999998,1.0115,1772668194.873879
317,0.0195,1.0115,1772668194.9747345
318,0.0,1.0115,1772668195.0769854
319,0.0,1.007,1772668195.1782224
320,0.0,1.002,1772668195.2822406
321,0.0,1.002,1772668195.384419
322,0.0,1.002,1772668195.4866984
323,0.0,1.002,1772668195.5899818
324,0.0,140.1415,1772668195.6917565
325,0.0,1.0115,1772668195.7939692
326,0.0,1.0115,1772668195.8963315
327,0.0,1.007,1772668195.9985354
328,140.137,1.0115,1772668196.101096
329,0.0,1.007,1772668196.2025192
330,0.0,140.528,1772668196.3063786
331,0.0,1.0115,1772668196.4087374
332,0.0,0.386,1772668196.5111318
333,50.049,1.007,1772668196.6141078
334,143.265,1.0115,1772668196.7150056
335,0.0,1.0165,1772668196.8180969
336,0.0,1.0115,1772668196.9190288
337,0.0,1.0165,1772668197.0227888
338,0.0,143.27,1772668197.1250641
339,0.0,1.0165,1772668197.227474
340,0.0,1.0165,1772668197.3289526
341,0.0,1.0165,1772668197.42968
342,0.0,1.0315,1772668197.5308108
343,0.0,1.0215,1772668197.6328743
344,0.0,1.0215,1772668197.7359202
345,0.0,1.0215,1772668197.8376505
346,0.0,1.0265,1772668197.940081
347,0.0,1.0215,1772668198.0427568
348,0.0,1.0265,1772668198.1450577
349,143.265,1.0215,1772668198.2473543
350,0.0,1.036,1772668198.3496354
351,0.0,1.0165,1772668198.4507737
352,0.0,1.041,1772668198.5542383
353,0.0,140.1415,1772668198.6571755
354,0.0,1.0165,1772668198.7594707
355,0.0,1.1095,1772668198.861181
356,0.0,1.3685,1772668198.962542
357,143.265,1.4905,1772668199.066293
358,0.0,1.095,1772668199.1688437
359,0.0,1.442,1772668199.2709816
360,0.0,1.515,1772668199.3720005
361,0.0,140.1465,1772668199.4766111
362,143.265,1.5495,1772668199.5786152
363,0.0,1.564,1772668199.680964
364,0.0,1.5105,1772668199.7827804
365,0.0,1.3880000000000001,1772668199.8852797
